passenger_id,name,pclass,sex,age,sibsp,parch,fare,embark_port,cabin,survived
1,Lena Vestergaard,2,male,31.6,1,0,19.87,Southampton,,0
2,Owen Okonkwo,3,female,7.8,1,0,20.0,Southampton,,1
3,Mira Lindqvist,3,female,11.4,0,0,23.12,,,1
4,Jonas Ferreira,3,male,46.8,1,0,15.69,Southampton,,0
5,Rosa Toussaint,1,male,58.2,0,0,64.79,Queenstown,A73,0
6,Otto Nakamura,3,male,,1,0,8.33,Southampton,,0
7,Nina Rowan,3,female,51.4,0,0,19.54,Southampton,,1
8,Iris Beaumont,3,male,41.2,3,0,19.83,Southampton,,0
9,Sofia Nakamura,1,male,33.1,0,0,73.14,Southampton,E62,1
10,Clara Lindqvist,3,female,23.6,0,0,14.39,Southampton,,1
11,Bram Rowan,3,male,,0,0,20.01,Southampton,,0
12,Nina Okonkwo,3,male,30.1,0,0,24.55,Southampton,,0
13,Mira Kowalski,3,female,33.1,0,0,18.6,Queenstown,,1
14,Hugo Halloran,1,male,20.2,0,0,33.87,,,1
15,Lena Toussaint,1,female,30.5,3,0,50.21,Queenstown,,1
16,Emil Mancini,3,male,8.1,1,0,4.16,Southampton,,0
17,Sofia Lindqvist,2,female,43.5,3,1,31.9,Cherbourg,,0
18,Otto Beaumont,2,female,14.0,0,0,24.21,Cherbourg,,0
19,Elsie Ferreira,3,male,15.9,0,1,12.37,Cherbourg,,0
20,Lena Lindqvist,3,female,27.8,0,0,6.51,Southampton,,1
21,Maeve Lindqvist,2,female,36.7,0,0,22.51,Southampton,,1
22,Sofia Halloran,3,male,25.4,0,0,11.74,Southampton,,0
23,Gus Mancini,3,male,46.0,0,0,17.75,Southampton,,1
24,Piet Okonkwo,3,male,16.3,0,0,12.33,Cherbourg,,1
25,Bram Bergstrom,2,male,41.6,3,0,21.14,Southampton,,0
26,Iris Kowalski,2,male,4.4,0,0,9.43,Queenstown,,0
27,Hugo Ashworth,3,female,,2,0,23.16,Southampton,,1
